Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-05-21 21:50:51,2024-05-22 21:30:40,UTC-04:00,40,75,14,33.50,96.32,12.0,2204,173,86,2024-05-21 21:50:51,2024-05-22 06:04:53,97,14.7,449,494,264,81,104,45,464,0,91,86
2024-05-20 21:09:56,2024-05-21 21:50:51,UTC-04:00,36,73,15,32.70,97.76,9.1,2018,158,84,2024-05-20 21:09:56,2024-05-21 05:44:18,100,13.6,477,511,256,113,108,34,463,0,93,93
2024-05-19 20:56:38,2024-05-20 21:09:56,UTC-04:00,31,76,14,34.17,96.57,8.5,1874,174,82,2024-05-19 20:56:38,2024-05-20 05:54:51,100,15.5,483,538,370,74,39,55,459,0,90,92
2024-05-18 21:12:25,2024-05-19 20:56:38,UTC-04:00,23,82,12,34.10,96.07,6.0,1758,143,89,2024-05-18 21:12:25,2024-05-19 06:28:43,100,15.4,485,554,319,90,76,69,460,0,89,91
2024-05-17 20:52:15,2024-05-18 21:12:25,UTC-04:00,23,83,12,33.71,96.94,6.9,1845,147,91,2024-05-17 20:52:15,2024-05-18 06:12:56,100,16.1,513,543,248,92,173,30,487,0,94,91
2024-05-16 21:02:25,2024-05-17 20:52:15,UTC-04:00,52,79,21,32.80,94.05,14.4,2365,177,89,2024-05-16 21:02:25,2024-05-17 05:53:27,100,16.5,473,519,207,139,127,46,474,16,91,94
2024-05-15 20:56:56,2024-05-16 21:02:25,UTC-04:00,55,72,21,33.10,96.07,3.9,1696,125,82,2024-05-15 20:56:56,2024-05-16 05:46:56,95,14.5,450,523,279,61,110,73,476,18,86,92
2024-05-14 21:19:59,2024-05-15 20:56:56,UTC-04:00,39,78,16,32.41,96.64,4.5,1664,129,81,2024-05-14 21:19:59,2024-05-15 05:45:58,94,14.6,456,501,283,87,86,45,485,25,91,92
2024-05-13 21:39:29,2024-05-14 21:19:59,UTC-04:00,52,75,20,32.20,95.86,6.7,1819,162,84,2024-05-13 21:39:29,2024-05-14 05:41:10,90,15.9,440,479,308,47,85,39,491,32,91,89
2024-05-12 21:17:44,2024-05-13 21:39:29,UTC-04:00,28,81,14,32.60,96.50,6.1,1786,166,87,2024-05-12 21:17:44,2024-05-13 05:45:56,87,16.0,430,508,203,117,110,78,494,24,85,87
2024-05-11 19:51:29,2024-05-12 21:17:44,UTC-04:00,18,82,11,32.90,96.71,10.8,2225,161,92,2024-05-11 19:51:29,2024-05-12 05:33:20,90,15.8,447,570,229,117,101,123,497,36,78,80
2024-05-10 21:41:16,2024-05-11 19:51:29,UTC-04:00,22,76,13,33.31,95.84,7.4,1762,160,88,2024-05-10 21:41:16,2024-05-11 05:26:41,85,15.4,408,464,269,76,63,56,481,20,90,90
2024-05-09 21:27:24,2024-05-10 21:41:16,UTC-04:00,56,71,23,32.40,97.13,7.4,1946,144,81,2024-05-09 21:27:24,2024-05-10 05:45:42,91,16.6,416,496,176,129,111,80,457,0,84,90
2024-05-08 20:20:02,2024-05-09 21:27:24,UTC-04:00,30,75,15,32.29,96.47,4.2,1776,139,81,2024-05-08 20:20:02,2024-05-09 05:45:33,100,15.5,502,564,353,81,68,62,462,4,88,88
2024-05-07 20:59:28,2024-05-08 20:20:02,UTC-04:00,57,74,21,32.64,96.67,4.7,1671,155,84,2024-05-07 20:59:28,2024-05-08 05:36:53,98,16.3,460,515,165,141,154,55,468,3,89,93
