Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-02-18 21:20:21,2024-02-19 20:50:35,UTC-05:00,25,84,8,33.12,97.16,4.9,1665,134,88,2024-02-18 21:20:21,2024-02-19 07:55:22,100,14.6,545,635,374,140,31,90,503,44,85,75
2024-02-17 23:04:19,2024-02-18 21:20:21,UTC-05:00,18,90,7,34.30,94.44,6.1,1625,139,92,2024-02-17 23:04:19,2024-02-18 07:05:27,81,15.2,372,481,260,36,76,109,460,0,77,72
2024-02-16 21:36:24,2024-02-17 23:04:19,UTC-05:00,96,77,47,34.22,95.95,6.9,1925,154,87,2024-02-16 21:36:24,2024-02-17 06:46:44,100,16.1,519,548,278,88,153,29,473,14,94,84
2024-02-15 21:02:36,2024-02-16 21:36:24,UTC-05:00,39,83,12,32.84,95.93,5.4,1766,170,85,2024-02-15 21:02:36,2024-02-16 05:48:26,95,13.7,450,516,220,116,114,66,474,15,88,87
2024-02-14 21:29:56,2024-02-15 21:02:36,UTC-05:00,41,86,12,32.70,96.26,4.7,1680,161,89,2024-02-14 21:29:56,2024-02-15 06:13:47,95,14.0,468,516,226,95,147,48,493,34,92,82
2024-02-13 21:20:54,2024-02-14 21:29:56,UTC-05:00,23,79,9,34.00,96.04,4.7,1703,134,86,2024-02-13 21:20:54,2024-02-14 06:00:37,85,15.3,405,513,251,90,64,108,475,0,79,75
2024-02-12 20:47:25,2024-02-13 21:20:54,UTC-05:00,53,74,14,34.37,96.32,12.1,2048,184,84,2024-02-12 20:47:25,2024-02-13 06:15:41,100,15.5,508,566,308,103,97,58,449,56,89,59
2024-02-11 22:56:18,2024-02-12 20:47:25,UTC-05:00,22,87,8,34.27,94.79,4.8,1574,162,90,2024-02-11 22:56:18,2024-02-12 05:59:45,77,15.3,376,422,257,48,71,46,489,27,92,82
2024-02-10 22:55:28,2024-02-11 22:56:18,UTC-05:00,18,87,7,34.17,95.48,7.8,1859,185,92,2024-02-10 22:55:28,2024-02-11 07:01:25,88,14.8,403,478,221,84,98,75,457,0,84,75
2024-02-09 21:24:38,2024-02-10 22:55:28,UTC-05:00,25,79,8,33.08,95.80,4.2,1800,126,86,2024-02-09 21:24:38,2024-02-10 07:13:12,100,15.2,494,587,300,114,80,93,489,30,86,82
2024-02-08 21:56:25,2024-02-09 21:24:38,UTC-05:00,33,82,12,32.40,94.39,5.6,1689,136,88,2024-02-08 21:56:25,2024-02-09 06:09:34,90,15.8,437,493,325,89,23,56,485,26,91,87
2024-02-07 20:50:40,2024-02-08 21:56:25,UTC-05:00,29,74,10,33.95,95.83,4.9,1785,131,83,2024-02-07 20:50:40,2024-02-08 06:01:55,91,14.7,426,547,281,128,17,121,468,9,79,83
2024-02-06 21:39:01,2024-02-07 20:50:40,UTC-05:00,33,80,11,34.50,95.91,5.4,1676,147,84,2024-02-06 21:39:01,2024-02-07 06:14:29,97,16.0,473,510,330,75,68,37,488,27,93,84
2024-02-05 21:21:15,2024-02-06 21:39:01,UTC-05:00,26,84,13,34.07,96.07,7.2,1884,149,85,2024-02-05 21:21:15,2024-02-06 06:04:19,91,16.0,449,518,372,35,42,69,492,33,86,78
2024-02-04 22:48:19,2024-02-05 21:21:15,UTC-05:00,61,78,30,33.09,96.53,5.5,1666,151,76,2024-02-04 22:48:19,2024-02-05 06:13:53,89,14.1,414,443,306,34,74,29,466,3,93,68
2024-02-03 22:38:53,2024-02-04 22:48:19,UTC-05:00,28,82,12,33.00,94.27,8.0,1904,166,82,2024-02-03 22:38:53,2024-02-04 07:44:55,99,15.2,493,546,408,43,42,53,498,38,90,64
2024-02-02 20:36:36,2024-02-03 22:38:53,UTC-05:00,40,83,13,32.10,95.52,6.5,1925,174,86,2024-02-02 20:36:36,2024-02-03 06:14:49,88,15.7,433,558,258,101,74,125,493,32,77,86
2024-02-01 20:55:31,2024-02-02 20:36:36,UTC-05:00,34,86,13,32.70,95.11,6.8,1719,197,87,2024-02-01 20:55:31,2024-02-02 06:00:25,90,15.4,482,544,316,83,83,62,534,75,89,85
2024-01-31 21:28:00,2024-02-01 20:55:31,UTC-05:00,35,81,13,34.26,97.10,5.4,1690,162,86,2024-01-31 21:28:00,2024-02-01 06:03:01,72,15.3,395,511,218,118,59,116,545,86,77,83
2024-01-30 22:07:59,2024-01-31 21:28:00,UTC-05:00,18,80,9,34.30,96.17,5.9,1710,166,86,2024-01-30 22:07:59,2024-01-31 05:29:00,67,15.6,344,436,176,84,84,92,516,19,79,83
2024-01-29 21:23:47,2024-01-30 22:07:59,UTC-05:00,33,80,10,34.20,93.63,15.8,2253,189,87,2024-01-29 21:23:47,2024-01-30 06:01:32,94,15.0,472,517,325,97,50,45,502,41,91,73
2024-01-28 22:33:55,2024-01-29 21:23:47,UTC-05:00,39,81,13,33.80,95.57,6.5,1734,184,86,2024-01-28 22:33:55,2024-01-29 06:03:12,83,16.1,407,449,252,61,94,42,491,30,90,82
2024-01-27 22:56:54,2024-01-28 22:33:55,UTC-05:00,35,79,11,34.20,95.66,7.5,1827,151,87,2024-01-27 22:56:54,2024-01-28 07:42:42,87,14.8,414,525,329,67,18,111,475,16,78,77
2024-01-26 22:20:43,2024-01-27 22:56:54,UTC-05:00,35,82,12,33.90,96.94,5.2,1767,133,86,2024-01-26 22:20:43,2024-01-27 07:29:49,95,14.9,495,547,321,126,48,52,520,61,90,77
2024-01-25 22:06:31,2024-01-26 22:20:43,UTC-05:00,21,82,8,33.60,95.82,5.6,1755,147,86,2024-01-25 22:06:31,2024-01-26 06:09:07,75,14.7,376,480,237,58,81,104,500,42,78,90
2024-01-24 21:41:07,2024-01-25 22:06:31,UTC-05:00,34,79,15,32.60,96.06,4.9,1736,129,86,2024-01-24 21:41:07,2024-01-25 05:54:34,83,14.9,418,491,232,78,108,73,502,43,86,90
2024-01-23 21:42:52,2024-01-24 21:41:07,UTC-05:00,23,84,9,33.28,95.44,5.6,1722,130,89,2024-01-23 21:42:52,2024-01-24 05:59:24,83,14.9,437,493,317,90,30,56,524,29,88,83
2024-01-22 21:52:17,2024-01-23 21:42:52,UTC-05:00,87,61,51,34.10,95.79,15.5,2212,194,79,2024-01-22 21:52:17,2024-01-23 05:45:18,88,13.4,407,473,197,108,102,66,465,4,88,78
2024-01-21 21:32:01,2024-01-22 21:52:17,UTC-05:00,89,64,42,33.60,96.45,7.3,1831,178,76,2024-01-21 21:32:01,2024-01-22 06:00:28,99,13.5,463,507,216,102,145,44,470,10,93,77
2024-01-20 23:28:31,2024-01-21 21:32:01,UTC-05:00,97,68,77,33.00,95.43,6.4,1659,133,80,2024-01-20 23:28:31,2024-01-21 07:16:23,96,16.1,442,465,320,60,62,23,458,0,96,71
2024-01-19 22:19:36,2024-01-20 23:28:31,UTC-05:00,30,76,10,33.70,95.23,5.3,1812,146,80,2024-01-19 22:19:36,2024-01-20 07:39:05,100,14.9,506,559,379,94,33,53,476,18,90,75
2024-01-18 22:10:06,2024-01-19 22:19:36,UTC-05:00,43,77,13,34.39,96.52,4.4,1701,124,82,2024-01-18 22:10:06,2024-01-19 06:30:15,92,15.3,435,499,329,82,24,64,472,13,87,81
2024-01-17 21:10:43,2024-01-18 22:10:06,UTC-05:00,57,76,16,33.00,97.24,5.1,1778,174,81,2024-01-17 21:10:43,2024-01-18 05:59:55,94,16.1,467,529,324,72,71,62,494,29,88,81
2024-01-16 21:36:02,2024-01-17 21:10:43,UTC-05:00,49,75,15,33.40,95.76,9.2,1933,162,85,2024-01-16 21:36:02,2024-01-17 05:46:20,88,15.9,421,488,249,86,86,67,481,21,86,75
2024-01-15 21:59:56,2024-01-16 21:36:02,UTC-05:00,46,73,14,34.12,96.09,5.9,1762,140,81,2024-01-15 21:59:56,2024-01-16 06:05:53,90,15.6,413,485,199,104,110,72,457,0,85,57
2024-01-14 20:43:41,2024-01-15 21:59:56,UTC-05:00,25,76,9,34.10,94.61,4.2,1776,123,83,2024-01-14 20:43:41,2024-01-15 07:57:34,100,15.1,532,673,457,51,24,141,457,0,79,60
2024-01-13 20:00:57,2024-01-14 20:43:41,UTC-05:00,50,76,17,34.00,95.78,4.2,1742,133,84,2024-01-13 20:00:57,2024-01-14 06:21:30,100,16.6,515,618,322,86,107,103,349,0,83,55
2024-01-12 21:34:14,2024-01-13 20:00:57,UTC-05:00,74,73,22,35.20,95.42,4.4,1599,131,83,2024-01-12 21:34:14,2024-01-13 05:58:58,100,16.9,471,503,145,162,164,32,389,0,93,72
2024-01-11 20:44:07,2024-01-12 21:34:14,UTC-05:00,91,77,32,35.34,95.00,4.4,1742,129,85,2024-01-11 20:44:07,2024-01-12 06:09:01,100,17.5,511,564,246,79,186,53,488,30,90,82
2024-01-10 21:52:34,2024-01-11 20:44:07,UTC-05:00,50,75,15,33.80,95.06,5.0,1635,155,84,2024-01-10 21:52:34,2024-01-11 05:58:02,88,15.5,422,485,169,128,125,63,482,24,87,85
2024-01-09 21:30:14,2024-01-10 21:52:34,UTC-05:00,60,74,17,32.76,95.77,4.4,1704,130,81,2024-01-09 21:30:14,2024-01-10 06:01:43,90,15.8,430,511,270,131,29,81,479,21,84,82
2024-01-08 21:41:22,2024-01-09 21:30:14,UTC-05:00,67,76,18,33.64,95.95,4.8,1718,140,81,2024-01-08 21:41:22,2024-01-09 06:16:02,93,16.3,440,514,274,75,91,74,474,0,85,82
2024-01-07 22:30:14,2024-01-08 21:41:22,UTC-05:00,98,70,26,34.17,96.11,11.8,1698,154,77,2024-01-07 22:30:14,2024-01-08 06:55:36,100,16.2,466,505,359,73,34,39,458,0,92,77
2024-01-06 21:26:27,2024-01-07 22:30:14,UTC-05:00,96,76,23,33.50,95.25,4.5,1764,134,82,2024-01-06 21:26:27,2024-01-07 07:12:26,100,17.0,517,582,232,94,191,65,459,0,88,69
2024-01-05 22:19:48,2024-01-06 21:26:27,UTC-05:00,79,80,15,34.53,96.85,6.1,1733,159,80,2024-01-05 22:19:48,2024-01-06 08:36:57,100,15.4,515,616,261,117,137,101,485,27,83,56
2024-01-04 21:20:09,2024-01-05 22:19:48,UTC-05:00,58,77,17,34.90,95.65,4.0,1743,123,79,2024-01-04 21:20:09,2024-01-05 05:35:13,92,14.5,460,495,222,102,136,35,503,45,93,82
2024-01-03 21:22:44,2024-01-04 21:20:09,UTC-05:00,25,81,11,34.59,95.55,4.1,1687,145,80,2024-01-03 21:22:44,2024-01-04 05:58:58,82,14.8,408,513,175,127,106,105,498,40,81,71
2024-01-02 20:30:48,2024-01-03 21:22:44,UTC-05:00,30,80,13,33.21,96.00,4.6,1753,146,87,2024-01-02 20:30:48,2024-01-03 05:45:00,87,15.7,422,553,255,114,53,131,485,27,76,63
2024-01-01 20:17:11,2024-01-02 20:30:48,UTC-05:00,25,81,12,34.50,96.13,4.3,1705,134,84,2024-01-01 20:17:11,2024-01-02 05:39:36,92,15.3,477,560,272,104,101,83,519,61,85,55
2024-01-01 00:23:38,2024-01-01 20:17:11,UTC-05:00,33,78,18,33.80,95.31,5.3,1419,148,85,2024-01-01 00:23:38,2024-01-01 07:50:10,77,13.4,403,446,111,109,183,43,526,63,91,67
2023-12-30 23:00:20,2024-01-01 00:23:38,UTC-05:00,14,95,10,34.87,95.91,8.2,1879,146,93,2023-12-30 23:00:20,2023-12-31 07:50:36,82,12.9,461,530,281,86,94,69,559,50,87,
2023-12-29 21:37:44,2023-12-30 23:00:20,UTC-05:00,17,89,16,34.16,96.00,17.4,3461,191,95,2023-12-29 21:37:44,2023-12-30 05:30:42,80,15.8,394,472,206,54,134,78,495,0,83,
2023-12-29 00:00:00,2023-12-29 21:37:44,UTC-05:00,,,,,,6.2,434,150,90,,,,,,,,,,,,,,
