Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-05-17 20:52:15,2024-05-18 21:12:25,UTC-04:00,2024-05-17 20:52:15,2024-05-18 06:12:56,100,16.1,513,543,248,92,173,30,487,0,94,91,false
2024-05-16 21:02:25,2024-05-17 20:52:15,UTC-04:00,2024-05-16 21:02:25,2024-05-17 05:53:27,100,16.5,473,519,207,139,127,46,474,16,91,94,false
2024-05-15 20:56:56,2024-05-16 21:02:25,UTC-04:00,2024-05-15 20:56:56,2024-05-16 05:46:56,95,14.5,450,523,279,61,110,73,476,18,86,92,false
2024-05-14 21:19:59,2024-05-15 20:56:56,UTC-04:00,2024-05-14 21:19:59,2024-05-15 05:45:58,94,14.6,456,501,283,87,86,45,485,25,91,92,false
2024-05-13 21:39:29,2024-05-14 21:19:59,UTC-04:00,2024-05-13 21:39:29,2024-05-14 05:41:10,90,15.9,440,479,308,47,85,39,491,32,91,89,false
2024-05-12 21:17:44,2024-05-13 21:39:29,UTC-04:00,2024-05-12 21:17:44,2024-05-13 05:45:56,87,16.0,430,508,203,117,110,78,494,24,85,87,false
2024-05-11 19:51:29,2024-05-12 21:17:44,UTC-04:00,2024-05-11 19:51:29,2024-05-12 05:33:20,90,15.8,447,570,229,117,101,123,497,36,78,80,false
2024-05-10 21:41:16,2024-05-11 19:51:29,UTC-04:00,2024-05-10 21:41:16,2024-05-11 05:26:41,85,15.4,408,464,269,76,63,56,481,20,90,90,false
2024-05-09 21:27:24,2024-05-10 21:41:16,UTC-04:00,2024-05-09 21:27:24,2024-05-10 05:45:42,91,16.6,416,496,176,129,111,80,457,0,84,90,false
2024-05-08 20:20:02,2024-05-09 21:27:24,UTC-04:00,2024-05-08 20:20:02,2024-05-09 05:45:33,100,15.5,502,564,353,81,68,62,462,4,88,88,false
2024-05-07 20:59:28,2024-05-08 20:20:02,UTC-04:00,2024-05-07 20:59:28,2024-05-08 05:36:53,98,16.3,460,515,165,141,154,55,468,3,89,93,false
2024-05-06 21:10:50,2024-05-07 20:59:28,UTC-04:00,2024-05-06 21:10:50,2024-05-07 05:47:41,99,16.4,456,505,246,92,118,49,461,3,90,90,false
