Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-05-06 21:10:50,2024-05-07 20:59:28,UTC-04:00,2024-05-07 12:27:02,2024-05-07 13:11:02,44,Disc Golf,4.3,61.0,132,114,43,57,0,0,0,false,,,
2024-05-05 20:57:27,2024-05-06 21:10:50,UTC-04:00,2024-05-06 16:22:19,2024-05-06 17:00:10,37,Yard Work,4.4,63.0,135,114,40,60,0,0,0,false,,,
2024-05-01 21:59:07,2024-05-02 22:24:20,UTC-04:00,2024-05-02 14:13:17,2024-05-02 14:23:08,9,Walking,4.1,17.0,133,117,27,73,0,0,0,true,888.03,29.46,1.55
2024-05-01 21:59:07,2024-05-02 22:24:20,UTC-04:00,2024-05-02 11:47:39,2024-05-02 12:23:39,35,Disc Golf,5.5,142.0,144,127,2,80,18,0,0,true,1481.89,139.00,5.39
2024-04-30 21:03:54,2024-05-01 21:59:07,UTC-04:00,2024-05-01 10:15:30,2024-05-01 10:23:26,7,Walking,0.0,9.0,123,107,92,8,0,0,0,true,427.45,6.71,0.70
2024-04-29 20:48:45,2024-04-30 21:03:54,UTC-04:00,2024-04-30 16:08:11,2024-04-30 16:34:38,26,Running,12.4,365.0,185,165,0,0,10,59,31,true,5016.33,87.55,0.42
2024-04-29 20:48:45,2024-04-30 21:03:54,UTC-04:00,2024-04-30 11:57:40,2024-04-30 12:31:33,33,Disc Golf,4.9,91.0,143,120,25,63,12,0,0,true,2915.73,196.68,-20.38
2024-04-27 21:45:50,2024-04-28 19:55:22,UTC-04:00,2024-04-28 14:03:53,2024-04-28 15:56:37,112,Ultimate,15.6,1055.0,182,147,0,20,31,43,6,false,,,
2024-04-26 21:31:17,2024-04-27 21:45:50,UTC-04:00,2024-04-27 12:23:22,2024-04-27 12:38:25,15,Running,8.1,180.0,183,156,1,2,4,81,9,true,2865.42,59.45,0.00
2024-04-23 21:46:07,2024-04-24 21:17:08,UTC-04:00,2024-04-24 11:48:03,2024-04-24 12:25:08,37,Disc Golf,6.2,198.0,150,129,0,89,11,0,0,true,1600.25,94.72,2.07
2024-04-22 20:50:06,2024-04-23 21:46:07,UTC-04:00,2024-04-23 16:03:01,2024-04-23 16:31:36,28,Running,13.7,423.0,195,167,3,0,3,36,57,true,5417.52,83.99,-1.94
2024-04-22 20:50:06,2024-04-23 21:46:07,UTC-04:00,2024-04-23 12:11:16,2024-04-23 12:48:36,37,Disc Golf,4.0,46.0,137,103,83,8,0,0,0,true,1929.93,367.00,-9.60
2024-04-18 22:48:53,2024-04-19 20:50:34,UTC-04:00,2024-04-19 11:56:03,2024-04-19 12:47:01,50,Yard Work,6.1,194.0,141,124,5,92,3,0,0,false,,,
